Year,Order,Player,Club,Nationality,Points
2005,14,Didier Drogba,Chelsea,Ivory Coast,7.0
2005,14,Michael Ballack,Bayern Munich,Germany,7.0
2005,18,Zinedine Zidane,Real Madrid,France,5.0
2005,19,Gianluigi Buffon,Juventus,Italy,4.0
2005,20,Jamie Carragher,Liverpool,England,3.0
2005,20,Cristiano Ronaldo,Manchester United,Portugal,3.0
2005,22,Michael Essien,Lyon / Chelsea,Ghana,2.0
2005,23,Luis García,Liverpool,Spain,1.0
2005,23,Pavel Nedvěd,Juventus,Czech Republic,1.0
2006,1,Fabio Cannavaro,Juventus,Italy,173.0
2006,2,Gianluigi Buffon,Juventus,Italy,124.0
2006,3,Thierry Henry,Arsenal,France,121.0
2006,4,Ronaldinho,Barcelona,Brazil,73.0
2006,5,Zinedine Zidane,Real Madrid,France,71.0
2006,6,Samuel Eto'o,Barcelona,Cameroon,67.0
2006,7,Miroslav Klose,Werder Bremen,Germany,29.0
2006,8,Didier Drogba,Chelsea,Côte d'Ivoire,25.0
2006,9,Andrea Pirlo,Milan,Italy,17.0
2006,10,Jens Lehmann,Arsenal,Germany,13.0
2006,11,Deco,Barcelona,Portugal,11.0
2006,11,Kaká,Milan,Brazil,11.0
2006,13,Franck Ribéry,Marseille,France,9.0
2006,14,Gennaro Gattuso,Milan,Italy,5.0
2006,14,Patrick Vieira,Juventus / Internazionale,France,5.0
2006,14,Cristiano Ronaldo,Manchester United F.C.,Portugal,5.0
2006,17,Frank Lampard,Chelsea,England,3.0
2006,17,Lukas Podolski,1. FC Köln / Bayern Munich,Germany,3.0
2006,17,Carles Puyol,Barcelona,Spain,3.0
2006,20,Juninho,Lyon,Brazil,2.0
2006,20,Lionel Messi,FC Barcelona,Argentina,2.0
2006,20,Luca Toni,Fiorentina,Italy,2.0
2006,20,John Terry,Chelsea,England,2.0
2006,20,Gianluca Zambrotta,Juventus / Barcelona,Italy,2.0
2006,25,Philipp Lahm,Bayern Munich,Germany,1.0
2006,25,David Villa,Valencia,Spain,1.0
2007,1,Kaká,Milan,Brazil,445.0
2007,2,Cristiano Ronaldo,Manchester United,Portugal,277.0
2007,3,Lionel Messi,Barcelona,Argentina,255.0
2007,4,Didier Drogba,Chelsea,Ivory Coast,108.0
2007,5,Andrea Pirlo,Milan,Italy,41.0
2007,6,Ruud van Nistelrooy,Real Madrid,Netherlands,39.0
2007,7,Zlatan Ibrahimović,Internazionale,Sweden,31.0
2007,8,Cesc Fàbregas,Arsenal,Spain,27.0
2007,9,Robinho,Real Madrid,Brazil,24.0
2007,10,Francesco Totti,Roma,Italy,20.0
2007,11,Frédéric Kanouté,Sevilla,Mali,19.0
2007,12,Ronaldinho,Barcelona,Brazil,18.0
2007,13,Steven Gerrard,Liverpool,England,17.0
2007,14,Juan Román Riquelme,Villarreal /  Boca Juniors,Argentina,15.0
2007,15,Dani Alves,Sevilla,Brazil,14.0
2007,16,Filippo Inzaghi,Milan,Italy,12.0
2007,17,Franck Ribéry,Marseille /  Bayern Munich,France,10.0
2007,18,Paolo Maldini,Milan,Italy,8.0
2007,19,Gianluigi Buffon,Juventus,Italy,7.0
2007,19,Petr Čech,Chelsea,Czech Republic,7.0
2007,19,Gennaro Gattuso,Milan,Italy,7.0
2007,19,Thierry Henry,Arsenal / Barcelona,France,7.0
2007,19,Clarence Seedorf,Milan,Netherlands,7.0
2007,24,Fabio Cannavaro,Real Madrid,Italy,5.0
2007,24,Michael Essien,Chelsea,Ghana,5.0
2007,26,Wayne Rooney,Manchester United,England,4.0
2007,27,Iker Casillas,Real Madrid,Spain,3.0
2007,27,Rogério Ceni,São Paulo,Brazil,3.0
2007,29,Younis Mahmoud,Al-Gharafa,Iraq,2.0
2007,30,Guillermo Ochoa,América,Mexico,1.0
2007,30,Dimitar Berbatov,Tottenham Hotspur,Bulgaria,1.0
2007,30,Samuel Eto'o,Barcelona,Cameroon,1.0
2007,30,Ryan Giggs,Manchester United,Wales,1.0
2007,30,Carlos Tevez,West Ham United /  Manchester United,Argentina,1.0
2007,30,Robin van Persie,Arsenal,Netherlands,1.0
2007,36,Eric Abidal,Lyon / Barcelona,France,0.0
2007,36,David Beckham,Real Madrid /  LA Galaxy,England,0.0
2007,36,Deco,Barcelona,Portugal,0.0
2007,36,Mahamadou Diarra,Real Madrid,Mali,0.0
2007,36,Diego,Werder Bremen,Brazil,0.0
2007,36,Miroslav Klose,Werder Bremen /  Bayern Munich,Germany,0.0
2007,36,Florent Malouda,Lyon / Chelsea,France,0.0
2007,36,Shunsuke Nakamura,Celtic,Japan,0.0
2007,36,Ricardo Quaresma,Porto,Portugal,0.0
2007,36,Raúl,Real Madrid,Spain,0.0
2007,36,Paul Scholes,Manchester United,England,0.0
2007,36,Luca Toni,Bayern Munich,Italy,0.0
2007,36,Kolo Touré,Arsenal,Ivory Coast,0.0
2007,36,Fernando Torres,Atlético Madrid / Liverpool,Spain,0.0
2007,36,David Villa,Valencia,Spain,0.0
2008,1,Cristiano Ronaldo,Manchester United,Portugal,446.0
2008,2,Lionel Messi,Barcelona,Argentina,281.0
2008,3,Fernando Torres,Liverpool,Spain,179.0
2008,4,Iker Casillas,Real Madrid,Spain,133.0
2008,5,Xavi,Barcelona,Spain,97.0
2008,6,Andrey Arshavin,Zenit Saint Petersburg,Russia,64.0
2008,7,David Villa,Valencia,Spain,55.0
2008,8,Zlatan Ibrahimović,Internazionale,Sweden,30.0
2008,9,Kaká,Milan,Brazil,29.0
2008,10,Steven Gerrard,Liverpool,England,28.0
2008,11,Marcos Senna,Villarreal,Spain,16.0
2008,12,Emmanuel Adebayor,Arsenal,Togo,12.0
2008,13,Wayne Rooney,Manchester United,England,11.0
2008,14,Sergio Agüero,Atlético Madrid,Argentina,10.0
2008,15,Frank Lampard,Chelsea,England,8.0
2008,16,Franck Ribéry,Bayern Munich,France,7.0
2008,17,Samuel Eto'o,Barcelona,Cameroon,6.0
2008,18,Gianluigi Buffon,Juventus,Italy,5.0
2008,19,Michael Ballack,Chelsea,Germany,4.0
2008,19,Cesc Fàbregas,Arsenal,Spain,4.0
2008,21,Didier Drogba,Chelsea,Ivory Coast,3.0
2008,21,Sergio Ramos,Real Madrid,Spain,3.0
2008,21,Nemanja Vidić,Manchester United,Serbia,3.0
2008,24,Edwin van der Sar,Manchester United,Netherlands,2.0
2008,24,Ruud van Nistelrooy,Real Madrid,Netherlands,2.0
2008,26,Karim Benzema,Lyon,France,0.0
2008,26,Pepe,Real Madrid,Portugal,0.0
2008,26,Luca Toni,Bayern Munich,Italy,0.0
2008,26,Rafael van der Vaart,Real Madrid,Netherlands,0.0
2008,26,Yuri Zhirkov,CSKA Moscow,Russia,0.0
2009,1,Lionel Messi,Barcelona,Argentina,473.0
2009,2,Cristiano Ronaldo,Manchester United /  Real Madrid,Portugal,233.0
2009,3,Xavi,Barcelona,Spain,170.0
2009,4,Andrés Iniesta,Barcelona,Spain,149.0
2009,5,Samuel Eto'o,Barcelona /  Internazionale,Cameroon,75.0
2009,6,Kaká,Milan /  Real Madrid,Brazil,58.0
2009,7,Zlatan Ibrahimović,Internazionale / Barcelona,Sweden,50.0
2009,8,Wayne Rooney,Manchester United,England,35.0
2009,9,Didier Drogba,Chelsea,Ivory Coast,33.0
2009,10,Steven Gerrard,Liverpool,England,32.0
2009,11,Fernando Torres,Liverpool,Spain,22.0
2009,12,Cesc Fàbregas,Arsenal,Spain,13.0
2009,13,Edin Džeko,Wolfsburg,Bosnia and Herzegovina,12.0
2009,14,Ryan Giggs,Manchester United,Wales,11.0
2009,15,Thierry Henry,Barcelona,France,9.0
2009,16,Luís Fabiano,Sevilla,Brazil,8.0
2009,16,Nemanja Vidić,Manchester United,Serbia,8.0
2009,16,Iker Casillas,Real Madrid,Spain,8.0
2009,19,Diego Forlán,Atlético Madrid,Uruguay,7.0
2009,20,Yoann Gourcuff,Bordeaux,France,6.0
2009,21,Andrey Arshavin,Arsenal,Russia,5.0
2009,21,Júlio César,Internazionale,Brazil,5.0
2009,21,Frank Lampard,Chelsea,England,5.0
2009,24,Maicon,Internazionale,Brazil,4.0
2009,25,Diego,Werder Bremen / Juventus,Brazil,3.0
2009,26,David Villa,Valencia,Spain,2.0
2009,26,John Terry,Chelsea,England,2.0
2009,28,Franck Ribéry,Bayern Munich,France,1.0
2009,28,Yaya Touré,Barcelona,Ivory Coast,1.0
2009,28,Karim Benzema,Lyon /  Real Madrid,France,1.0
2010,1,Lionel Messi,Barcelona,Argentina,22.65
2010,2,Andrés Iniesta,Barcelona,Spain,17.36
2010,3,Xavi,Barcelona,Spain,16.48
2010,4,Wesley Sneijder,Internazionale,Netherlands,14.48
2010,5,Diego Forlán,Atlético Madrid,Uruguay,7.61
2010,6,Cristiano Ronaldo,Real Madrid,Portugal,3.92
2010,7,Iker Casillas,Real Madrid,Spain,2.9
2010,8,David Villa,Valencia / Barcelona,Spain,2.25
2010,9,Didier Drogba,Chelsea,Ivory Coast,1.68
2010,10,Xabi Alonso,Real Madrid,Spain,1.52
2010,11,Carles Puyol,Barcelona,Spain,1.43
2010,12,Samuel Eto'o,Internazionale,Cameroon,1.37
2010,13,Mesut Özil,Real Madrid,Germany,1.21
2010,14,Arjen Robben,Bayern Munich,Netherlands,1.16
2010,15,Thomas Müller,Bayern Munich,Germany,0.91
2010,16,Bastian Schweinsteiger,Bayern Munich,Germany,0.75
2010,17,Maicon,Internazionale,Brazil,0.57
2010,18,Asamoah Gyan,Sunderland,Ghana,0.46
2010,19,Júlio César,Internazionale,Brazil,0.22
2010,19,Cesc Fàbregas,Arsenal,Spain,0.22
2010,21,Miroslav Klose,Bayern Munich,Germany,0.19
2010,22,Philipp Lahm,Bayern Munich,Germany,0.05
2010,22,Dani Alves,Barcelona,Brazil,0.05
2011,1,Lionel Messi,Barcelona,Argentina,47.88
2011,2,Cristiano Ronaldo,Real Madrid,Portugal,21.6
2011,3,Xavi,Barcelona,Spain,9.23
2011,4,Andrés Iniesta,Barcelona,Spain,6.01
2011,5,Wayne Rooney,Manchester United,England,2.31
2011,6,Luis Suárez,Ajax / Liverpool,Uruguay,1.48
2011,7,Diego Forlán,Atlético Madrid / Internazionale,Uruguay,1.43
2011,8,Samuel Eto'o,Internazionale /  Anzhi Makhachkala,Cameroon,1.34
2011,9,Iker Casillas,Real Madrid,Spain,1.29
2011,10,Neymar,Santos,Brazil,1.12
2011,11,Mesut Özil,Real Madrid,Germany,0.76
2011,12,Wesley Sneijder,Internazionale,Netherlands,0.72
2011,13,Thomas Müller,Bayern Munich,Germany,0.64
2011,14,David Villa,Barcelona,Spain,0.53
2011,15,Bastian Schweinsteiger,Bayern Munich,Germany,0.5
2011,16,Xabi Alonso,Real Madrid,Spain,0.48
2011,16,Sergio Agüero,Atlético Madrid,Argentina,0.48
2011,18,Eric Abidal,Barcelona,France,0.36
2011,19,Dani Alves,Barcelona,Brazil,0.34
2011,19,Karim Benzema,Real Madrid,France,0.34
2011,21,Cesc Fàbregas,Arsenal / Barcelona,Spain,0.29
2011,22,Nani,Manchester United,Portugal,0.26
2011,23,Gerard Piqué,Barcelona,Spain,0.22
2012,1,Lionel Messi,Barcelona,Argentina,41.6
2012,2,Cristiano Ronaldo,Real Madrid,Portugal,23.68
2012,3,Andrés Iniesta,Barcelona,Spain,10.91
2012,4,Xavi,Barcelona,Spain,4.08
2012,5,Radamel Falcao,Atlético Madrid,Colombia,3.67
2012,6,Iker Casillas,Real Madrid,Spain,3.18
2012,7,Andrea Pirlo,Juventus,Italy,2.66
2012,8,Didier Drogba,Chelsea /  Shanghai Shenhua,Ivory Coast,2.6
2012,9,Robin van Persie,Arsenal /  Manchester United,Netherlands,1.45
2012,10,Zlatan Ibrahimović,Milan /  Paris Saint-Germain,Sweden,1.24
2012,11,Xabi Alonso,Real Madrid,Spain,1.09
2012,12,Yaya Touré,Manchester City,Ivory Coast,0.76
2012,13,Neymar,Santos,Brazil,0.61
2012,14,Mesut Özil,Real Madrid,Germany,0.41
2012,15,Wayne Rooney,Manchester United,England,0.39
2012,16,Gianluigi Buffon,Juventus,Italy,0.35
2012,17,Sergio Agüero,Manchester City,Argentina,0.3
2012,18,Sergio Ramos,Real Madrid,Spain,0.22
2012,19,Manuel Neuer,Bayern Munich,Germany,0.21
2012,20,Sergio Busquets,Barcelona,Spain,0.2
2012,21,Gerard Piqué,Barcelona,Spain,0.11
2012,21,Karim Benzema,Real Madrid,France,0.11
2012,23,Mario Balotelli,Manchester City,Italy,0.07
2013,1,Cristiano Ronaldo,Real Madrid,Portugal,27.99
2013,2,Lionel Messi,Barcelona,Argentina,24.72
2013,3,Franck Ribéry,Bayern Munich,France,23.36
2013,4,Zlatan Ibrahimović,Paris Saint-Germain,Sweden,5.29
2013,5,Neymar,Santos / Barcelona,Brazil,3.17
2013,6,Andrés Iniesta,Barcelona,Spain,2.08
2013,7,Robin van Persie,Manchester United,Netherlands,1.79
2013,8,Arjen Robben,Bayern Munich,Netherlands,1.77
2013,9,Gareth Bale,Tottenham Hotspur /  Real Madrid,Wales,1.32
2013,10,Andrea Pirlo,Juventus,Italy,1.11
2013,11,Radamel Falcao,Atlético Madrid / Monaco,Colombia,1.08
2013,12,Yaya Touré,Manchester City,Ivory Coast,0.99
2013,13,Robert Lewandowski,Borussia Dortmund,Poland,0.92
2013,14,Philipp Lahm,Bayern Munich,Germany,0.82
2013,14,Xavi,Barcelona,Spain,0.82
2013,16,Mesut Özil,Real Madrid / Arsenal,Germany,0.71
2013,17,Bastian Schweinsteiger,Bayern Munich,Germany,0.43
2013,17,Thomas Müller,Bayern Munich,Germany,0.43
2013,19,Luis Suárez,Liverpool,Uruguay,0.39
2013,20,Edinson Cavani,Napoli /  Paris Saint-Germain,Uruguay,0.36
2013,21,Thiago Silva,Paris Saint-Germain,Brazil,0.24
2013,22,Eden Hazard,Chelsea,Belgium,0.16
2013,23,Manuel Neuer,Bayern Munich,Germany,0.08
2014,1,Cristiano Ronaldo,Real Madrid,Portugal,37.66
2014,2,Lionel Messi,Barcelona,Argentina,15.76
2014,3,Manuel Neuer,Bayern Munich,Germany,15.72
2014,4,Arjen Robben,Bayern Munich,Netherlands,7.17
2014,5,Thomas Müller,Bayern Munich,Germany,5.42
2014,6,Philipp Lahm,Bayern Munich,Germany,2.9
2014,7,Neymar,Barcelona,Brazil,2.21
2014,8,James Rodríguez,Monaco /  Real Madrid,Colombia,1.47
2014,9,Toni Kroos,Bayern Munich /  Real Madrid,Germany,1.43
2014,10,Ángel Di María,Real Madrid /  Manchester United,Argentina,1.29
2014,11,Diego Costa,Atlético Madrid /  Chelsea,Spain,1.02
2014,12,Gareth Bale,Real Madrid,Wales,1.0
2014,12,Zlatan Ibrahimović,Paris Saint-Germain,Sweden,1.0
2014,14,Yaya Touré,Manchester City,Ivory Coast,0.86
2014,15,Mario Götze,Bayern Munich,Germany,0.84
2014,16,Karim Benzema,Real Madrid,France,0.75
2014,17,Andrés Iniesta,Barcelona,Spain,0.67
2014,18,Bastian Schweinsteiger,Bayern Munich,Germany,0.57
2014,19,Javier Mascherano,Barcelona,Argentina,0.55
2014,20,Thibaut Courtois,Atlético Madrid / Chelsea,Belgium,0.51
2014,21,David Luiz,Chelsea,Brazil,0.47
2014,22,Paul Pogba,Juventus,France,0.4
2014,23,Sergio Ramos,Real Madrid,Spain,0.33
2015,1,Lionel Messi,Barcelona,Argentina,41.33
2015,2,Cristiano Ronaldo,Real Madrid,Portugal,27.76
2015,3,Neymar,Barcelona,Brazil,7.86
2015,4,Robert Lewandowski,Bayern Munich,Poland,4.17
2015,5,Luis Suárez,Barcelona,Uruguay,3.38
2015,6,Thomas Müller,Bayern Munich,Germany,2.21
2015,7,Manuel Neuer,Bayern Munich,Germany,1.97
2015,8,Eden Hazard,Chelsea,Belgium,1.33
2015,9,Andrés Iniesta,Barcelona,Spain,1.24
2015,10,Alexis Sánchez,Arsenal,Chile,1.18
2015,11,Zlatan Ibrahimović,Paris Saint-Germain,Sweden,1.13
2015,12,Yaya Touré,Manchester City,Ivory Coast,0.89
2015,13,Sergio Agüero,Manchester City,Argentina,0.86
2015,14,Javier Mascherano,Barcelona,Argentina,0.79
2015,15,Paul Pogba,Juventus,France,0.72
2015,16,Gareth Bale,Real Madrid,Wales,0.65
2015,17,Arturo Vidal,Juventus /  Bayern Munich,Chile,0.58
2015,18,Kevin De Bruyne,VfL Wolfsburg /  Manchester City,Belgium,0.47
2015,19,James Rodríguez,Real Madrid,Colombia,0.45
2015,20,Karim Benzema,Real Madrid,France,0.4
2015,21,Toni Kroos,Real Madrid,Germany,0.2931
2015,22,Arjen Robben,Bayern Munich,Netherlands,0.293
2015,23,Ivan Rakitić,Barcelona,Croatia,0.05
2016,1,Cristiano Ronaldo,Real Madrid,Portugal,745.0
2016,2,Lionel Messi,Barcelona,Argentina,316.0
2016,3,Antoine Griezmann,Atlético Madrid,France,198.0
2016,4,Luis Suárez,Barcelona,Uruguay,91.0
2016,5,Neymar,Barcelona,Brazil,68.0
2016,6,Gareth Bale,Real Madrid,Wales,60.0
2016,7,Riyad Mahrez,Leicester City,Algeria,20.0
2016,8,Jamie Vardy,Leicester City,England,11.0
2016,9,Gianluigi Buffon,Juventus,Italy,8.0
2016,9,Pepe,Real Madrid,Portugal,8.0
2016,11,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,7.0
2016,12,Rui Patrício,Sporting CP,Portugal,6.0
2016,13,Zlatan Ibrahimović,Paris Saint-Germain /  Manchester United,Sweden,5.0
2016,14,Paul Pogba,Juventus /  Manchester United,France,4.0
2016,14,Arturo Vidal,Bayern Munich,Chile,4.0
2016,16,Robert Lewandowski,Bayern Munich,Poland,3.0
2016,17,Toni Kroos,Real Madrid,Germany,1.0
2016,17,Luka Modrić,Real Madrid,Croatia,1.0
2016,17,Dimitri Payet,West Ham United,France,1.0
2016,20,Sergio Agüero,Manchester City,Argentina,0.0
2016,20,Kevin De Bruyne,Manchester City,Belgium,0.0
2016,20,Paulo Dybala,Juventus,Argentina,0.0
2016,20,Diego Godín,Atlético Madrid,Uruguay,0.0
2016,20,Gonzalo Higuaín,Napoli / Juventus,Argentina,0.0
2016,20,Andrés Iniesta,Barcelona,Spain,0.0
2016,20,Koke,Atlético Madrid,Spain,0.0
2016,20,Hugo Lloris,Tottenham Hotspur,France,0.0
2016,20,Thomas Müller,Bayern Munich,Germany,0.0
2016,20,Manuel Neuer,Bayern Munich,Germany,0.0
2016,20,Sergio Ramos,Real Madrid,Spain,0.0
2017,1,Cristiano Ronaldo,Real Madrid,Portugal,946.0
2017,2,Lionel Messi,Barcelona,Argentina,670.0
2017,3,Neymar,Barcelona /  Paris Saint-Germain,Brazil,361.0
2017,4,Gianluigi Buffon,Juventus,Italy,221.0
2017,5,Luka Modrić,Real Madrid,Croatia,84.0
2017,6,Sergio Ramos,Real Madrid,Spain,71.0
2017,7,Kylian Mbappé,Monaco /  Paris Saint-Germain,France,48.0
2017,8,N'Golo Kanté,Chelsea,France,47.0
2017,9,Robert Lewandowski,Bayern Munich,Poland,45.0
2017,10,Harry Kane,Tottenham Hotspur,England,36.0
2017,11,Edinson Cavani,Paris Saint-Germain,Uruguay,32.0
2017,12,Isco,Real Madrid,Spain,28.0
2017,13,Luis Suárez,Barcelona,Uruguay,27.0
2017,14,Kevin De Bruyne,Manchester City,Belgium,25.0
2017,15,Paulo Dybala,Juventus,Argentina,23.0
2017,16,Marcelo,Real Madrid,Brazil,21.0
2017,17,Toni Kroos,Real Madrid,Germany,20.0
2017,18,Antoine Griezmann,Atlético Madrid,France,17.0
2017,19,Eden Hazard,Chelsea,Belgium,16.0
2017,20,David de Gea,Manchester United,Spain,15.0
2017,21,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,14.0
2017,21,Leonardo Bonucci,Juventus / Milan,Italy,14.0
2017,23,Sadio Mané,Liverpool,Senegal,10.0
2017,24,Radamel Falcao,Monaco,Colombia,9.0
2017,25,Karim Benzema,Real Madrid,France,7.0
2017,26,Jan Oblak,Atlético Madrid,Slovenia,4.0
2017,27,Mats Hummels,Bayern Munich,Germany,3.0
2017,28,Edin Džeko,Roma,Bosnia and Herzegovina,2.0
2017,29,Philippe Coutinho,Liverpool,Brazil,0.0
2017,29,Dries Mertens,Napoli,Italy,0.0
2018,1,Luka Modrić,Real Madrid,Croatia,753.0
2018,2,Cristiano Ronaldo,Real Madrid /  Juventus,Portugal,478.0
2018,3,Antoine Griezmann,Atlético Madrid,France,414.0
2018,4,Kylian Mbappé,Paris Saint-Germain,France,347.0
2018,5,Lionel Messi,Barcelona,Argentina,280.0
2018,6,Mohamed Salah,Liverpool,Egypt,188.0
2018,7,Raphaël Varane,Real Madrid,France,121.0
2018,8,Eden Hazard,Chelsea,Belgium,119.0
2018,9,Kevin De Bruyne,Manchester City,Belgium,29.0
2018,10,Harry Kane,Tottenham Hotspur,England,25.0
2018,11,N'Golo Kanté,Chelsea,France,24.0
2018,12,Neymar,Paris Saint-Germain,Brazil,19.0
2018,13,Luis Suárez,Barcelona,Uruguay,17.0
2018,14,Thibaut Courtois,Chelsea /  Real Madrid,Belgium,12.0
2018,15,Paul Pogba,Manchester United,France,9.0
2018,16,Sergio Agüero,Manchester City,Argentina,7.0
2018,17,Gareth Bale,Real Madrid,Wales,6.0
2018,17,Karim Benzema,Real Madrid,France,6.0
2018,19,Roberto Firmino,Liverpool,Brazil,4.0
2018,19,Ivan Rakitić,Barcelona,Croatia,4.0
2018,19,Sergio Ramos,Real Madrid,Spain,4.0
2018,22,Edinson Cavani,Paris Saint-Germain,Uruguay,3.0
2018,22,Sadio Mané,Liverpool,Senegal,3.0
2018,22,Marcelo,Real Madrid,Brazil,3.0
2018,25,Alisson,Roma / Liverpool,Brazil,2.0
2018,25,Mario Mandžukić,Juventus,Croatia,2.0
2018,25,Jan Oblak,Atlético Madrid,Slovenia,2.0
2018,28,Diego Godín,Atlético Madrid,Uruguay,1.0
2018,29,Isco,Real Madrid,Spain,0.0
2018,29,Hugo Lloris,Tottenham Hotspur,France,0.0
2019,1,Lionel Messi,Barcelona,Argentina,686.0
2019,2,Virgil Van Dijk,Liverpool,Netherlands,679.0
2019,3,Cristiano Ronaldo,Juventus,Portugal,476.0
2019,4,Sadio Mané,Liverpool,Senegal,347.0
2019,5,Mohamed Salah,Liverpool,Egypt,178.0
2019,6,Kylian Mbappé,Paris Saint-Germain,France,89.0
2019,7,Alisson,Liverpool,Brazil,67.0
2019,8,Robert Lewandowski,Bayern Munich,Poland,44.0
2019,9,Bernardo Silva,Manchester City,Portugal,41.0
2019,10,Riyad Mahrez,Manchester City,Algeria,33.0
2019,11,Frenkie de Jong,Ajax / Barcelona,Netherlands,31.0
2019,12,Raheem Sterling,Manchester City,England,30.0
2019,13,Eden Hazard,Chelsea / Real Madrid,Belgium,25.0
2019,14,Kevin De Bruyne,Manchester City,Belgium,14.0
2019,15,Matthijs de Ligt,Ajax / Juventus,Netherlands,13.0
2019,16,Sergio Agüero,Manchester City,Argentina,12.0
2019,17,Roberto Firmino,Liverpool,Brazil,11.0
2019,18,Antoine Griezmann,Atlético Madrid / Barcelona,France,9.0
2019,19,Trent Alexander-Arnold,Liverpool,England,8.0
2019,20,Pierre-Emerick Aubameyang,Arsenal,Gabon,5.0
2019,20,Dušan Tadić,Ajax,Serbia,5.0
2019,22,Son Heung-min,Tottenham Hotspur,South Korea,4.0
2019,23,France Hugo Lloris,Tottenham Hotspur,France,3.0
2019,24,Kalidou Koulibaly,Napoli,Senegal,2.0
2019,24,Marc-André ter Stegen,Barcelona,Germany,2.0
2019,26,Karim Benzema,Real Madrid,France,1.0
2019,26,Georginio Wijnaldum,Liverpool,Netherlands,1.0
2019,28,João Félix,Benfica / Atlético Madrid,Portugal,0.0
2019,28,Marquinhos,Paris Saint-Germain,Brazil,0.0
2019,28,Donny van de Beek,Ajax,Netherlands,0.0
2021,1,Lionel Messi,Paris Saint-Germain,Argentina,613.0
2021,2,Robert Lewandowski,Bayern Munich,Poland,580.0
2021,3,Jorginho,Chelsea,Italy,460.0
2021,4,Karim Benzema,Real Madrid,France,239.0
2021,5,N'Golo Kanté,Chelsea,France,186.0
2021,6,Cristiano Ronaldo,"Juventus, Manchester United",Portugal,178.0
2021,7,Mohamed Salah,Liverpool,Egypt,121.0
2021,8,Kevin De Bruyne,Manchester City,Belgium,73.0
2021,9,Kylian Mbappé,Paris Saint-Germain,France,58.0
2021,10,Gianluigi Donnarumma,"Milan, Paris Saint-Germain",Italy,36.0
2021,11,Erling Haaland,Borussia Dortmund,Norway,33.0
2021,12,Romelu Lukaku,"Inter Milan, Chelsea",Belgium,26.0
2021,12,Giorgio Chiellini,Juventus,Italy,26.0
2021,14,Leonardo Bonucci,Juventus,Italy,18.0
2021,15,Raheem Sterling,Manchester City,England,10.0
2021,16,Neymar,Paris Saint-Germain,Brazil,9.0
2021,17,Luis Suárez,Atlético Madrid,Uruguay,8.0
2021,17,Simon Kjær,Milan,Denmark,8.0
2021,19,Mason Mount,Chelsea,England,7.0
2021,19,Riyad Mahrez,Manchester City,Algeria,7.0
2021,21,Bruno Fernandes,Manchester United,Portugal,6.0
2021,21,Lautaro Martínez,Inter Milan,Argentina,6.0
2021,23,Harry Kane,Tottenham Hotspur,England,4.0
2021,24,Pedri,Barcelona,Spain,3.0
2021,25,Phil Foden,Manchester City,England,2.0
2021,26,Gerard Moreno,Villarreal,Spain,1.0
2021,26,Nicolò Barella,Inter Milan,Italy,1.0
2021,26,Rúben Dias,Manchester City,Portugal,1.0
2021,29,Luka Modrić,Real Madrid,Croatia,0.0
2021,29,Cesar Azpilicueta,Chelsea,Spain,0.0
2022,1,Karim Benzema,Real Madrid,France,549.0
2022,2,Sadio Mane,"Liverpool /
          Bayern Munich",Senegal,193.0
2022,3,Kevin De Bruyne,Man City,Belgium,175.0
2022,4,Robert Lewandowski,"Bayern Munich /
          Barcelona",Poland,170.0
2022,5,Mohamed Salah,Liverpool,Egypt,116.0
2022,6,Kylian Mbappe,PSG,France,85.0
2022,7,Thibaut Courtois,Real Madrid,Belgium,82.0
2022,8,Vinicius Jr.,Real Madrid,Brazil,61.0
2022,9,Luka Modric,Real Madrid,Croatia,20.0
2022,10,Erling Haaland,Man City,Norway,18.0
2022,11,Son Heung-min,Tottenham,South Korea,5.0
2022,12,Riyad Mahrez,Man City,Algeria,4.0
2022,13,Sebastien Haller,"Ajax /
          B. Dortmund",Ivory Coast,2.0
2022,13,Fabinho,Liverpool,Brazil,2.0
2022,13,Rafael Leao,AC Milan,Portugal,2.0
2022,16,Virgil van Dijk,Liverpool,Netherlands,1.0
2022,16,Casemiro,"Real Madrid /
          Man United",Brazil,1.0
2022,16,Dusan Vlahovic,"Fiorentina /
          Juventus",Serbia,1.0
2022,16,Luis Diaz,"Porto /
          Liverpool",Colombia,1.0
2022,20,Cristiano Ronaldo,Man United,Portugal,0.0
2022,20,Harry Kane,Tottenham,England,0.0
2022,20,Trent Alexander-Arnold,Liverpool,England,0.0
2022,20,Phil Foden,Man City,England,0.0
2022,20,Bernardo Silva,Man City,Portugal,0.0
2022,20,Joshua Kimmich,Bayern Munich,Germany,0.0
2022,20,Mike Maignan,AC Milan,France,0.0
2022,20,Antonio Rudiger,"Chelsea /
          Real Madrid",Germany,0.0
2022,20,Joao Cancelo,Man City,Portugal,0.0
2022,20,Christopher Nkunku,RB Leipzig,France,0.0
2022,20,Darwin Nunez,"Benfica /
          Liverpool",Uruguay,0.0
2023,1,Lionel Messi,PSG,Argentina,462.0
2023,2,Erling Haaland,Man City,Norway,357.0
2023,3,Kylian Mbappe,PSG,France,270.0
2023,4,Kevin de Bruyne,Man City,Belgium,100.0
2023,5,Rodri,Man City,Spain,57.0
2023,6,Vinicius Jr,Real Madrid,Brazil,49.0
